"","x"
"1","1810055G02Rik"
"2","2200002D01Rik"
"3","AA467197"
"4","Ace"
"5","Actb"
"6","Ada"
"7","Alas1"
"8","Aldh4a1"
"9","Anpep"
"10","Apba3"
"11","Aplp1"
"12","Apoa1"
"13","Aqp1"
"14","Arf1"
"15","Arpc5"
"16","B2m"
"17","Barx2"
"18","Blcap"
"19","Bpgm"
"20","Bud31"
"21","C2cd2l"
"22","Cap1"
"23","Card19"
"24","Ccl5"
"25","Cd274"
"26","Cd3d"
"27","Cd3e"
"28","Cd63"
"29","Cd7"
"30","Cd8a"
"31","Cdr2"
"32","Ceacam1"
"33","Ceacam20"
"34","Cidec"
"35","Clic1"
"36","Crb3"
"37","Creb3l3"
"38","Cs"
"39","Cst6"
"40","Cttn"
"41","Cx3cl1"
"42","Cxcl16"
"43","Cyp27a1"
"44","Dgat2"
"45","Dgkd"
"46","Dll4"
"47","Dnase1"
"48","Dusp6"
"49","Efhd2"
"50","Ehd1"
"51","Eif1"
"52","Eps8l3"
"53","F11r"
"54","Gal3st2b"
"55","Gng5-ps"
"56","Gzma"
"57","H1f4"
"58","H2-D1"
"59","H2-K1"
"60","H2-Q9"
"61","Herc6"
"62","Id1"
"63","Id3"
"64","Ifit1"
"65","Ifit1bl1"
"66","Ifit1bl2"
"67","Ifit3"
"68","Il2rb"
"69","Inpp5b"
"70","Irf8"
"71","Isg15"
"72","Junb"
"73","Kctd5"
"74","Kdelr2"
"75","Leap2"
"76","Lyn"
"77","Mafb"
"78","Map2k3"
"79","Metrnl"
"80","Mexis"
"81","Mlx"
"82","Muc4"
"83","Mxi1"
"84","Nfkbib"
"85","Noxo1"
"86","Ntan1"
"87","Oaf"
"88","Oasl1"
"89","Ormdl3"
"90","Ostf1"
"91","Paox"
"92","Parp12"
"93","Pdlim2"
"94","Pim3"
"95","Plet1"
"96","Ppp1r16b"
"97","Ppp6r1"
"98","Prag1"
"99","Prr13"
"100","Prr15"
"101","Prss30"
"102","Psmb8"
"103","Ptprr"
"104","Rab30"
"105","Rfk"
"106","Rhob"
"107","Ripk3"
"108","Rnaset2a"
"109","Rnf186"
"110","S100a10"
"111","S100a11"
"112","Scamp2"
"113","Sec14l1"
"114","Selenok"
"115","Sema4a"
"116","Sertad3"
"117","Sgk2"
"118","Sidt2"
"119","Skap2"
"120","Slc25a22"
"121","Slc39a1"
"122","Slc39a9"
"123","Slc51b"
"124","Slc52a3"
"125","Slc6a8"
"126","Slc9a3r1"
"127","Slco2a1"
"128","Smlr1"
"129","Smpdl3a"
"130","Socs3"
"131","Spink1"
"132","Sult2b1"
"133","Sult6b2"
"134","Tgfbi"
"135","Tinagl1"
"136","Tmbim1"
"137","Tmc5"
"138","Tmem45b"
"139","Tmem86a"
"140","Tmsb4x"
"141","Tnfrsf1a"
"142","Tnfrsf1b"
"143","Tor1a"
"144","Trim25"
"145","Trim40"
"146","Tubb2a"
"147","Txnip"
"148","Ubd"
"149","Upp1"
"150","Usp18"
"151","Vps37b"
"152","Zbp1"
"153","Zfp36"
